KID,LIV
GO:0015780,GO:0046902
GO:0032922,GO:0032922
GO:0090481,GO:0006220
GO:0006939,GO:0032981
GO:0046686,GO:0046470
GO:0042752,GO:0051642
GO:0070059,GO:0006695
GO:0001764,GO:0090559
GO:0007623,GO:0043248
GO:1901264,GO:0031573
GO:0048511,GO:0006267
GO:0003073,GO:0006744
GO:0009226,GO:0033683
GO:0008088,GO:0006505
GO:0047496,GO:0032511
GO:0009225,GO:0046890
GO:0042552,GO:0000038
GO:0030201,GO:0006506
GO:0015718,GO:0006721
GO:0061077,GO:0006720
GO:0008217,GO:0046785
GO:0000422,GO:0008637
GO:0030968,GO:0046464
GO:0031532,GO:0046461
GO:0006986,GO:0019985
GO:0034620,GO:0035721
GO:0006457,GO:0009112
GO:0030148,GO:0006760
GO:0071560,GO:0006268
GO:0071559,GO:0006206
GO:0007179,GO:0072527
GO:0007131,GO:0042752
GO:0035825,GO:0046467
GO:0010506,GO:0043044
GO:0006639,GO:0070997
GO:0006638,GO:0042558
GO:0072384,GO:0016126
GO:0019216,GO:0006643
GO:0006672,GO:0097164
GO:0061572,GO:1903509
GO:0009062,GO:0006664
GO:0006665,GO:0019216
GO:0034976,GO:0009247
GO:0035967,GO:0008654
GO:0035966,GO:0030148
GO:0051017,GO:0045017
GO:1903008,GO:0000077
GO:0044057,GO:0007006
GO:0006487,GO:0006661
GO:0009636,GO:0000469
GO:0055067,GO:0032509
GO:0051225,GO:0044786
GO:0046467,GO:0033260
GO:0032869,GO:0006826
GO:0045017,GO:0007623
GO:0008654,GO:0046474
GO:0000045,GO:0006665
GO:0046942,GO:0006633
GO:0006914,GO:0006641
GO:0061919,GO:0046503
GO:0015849,GO:0048511
GO:0008610,GO:0032392
GO:0030004,GO:0031331
GO:0006643,GO:0008610
GO:0034504,GO:0006749
GO:0031123,GO:0072330
GO:0046395,GO:0055088
GO:0016054,GO:0006694
GO:0044242,GO:0009108
GO:0006732,GO:0006650
GO:0016236,GO:0006672
GO:0006631,GO:0006644
GO:0015711,GO:0006406
GO:0046486,GO:0071427
GO:0007005,GO:0006289
GO:0006820,GO:0046165
GO:0098656,GO:0016125
GO:0044255,GO:0061077
GO:0044282,GO:0006623
GO:0006644,GO:0007031
GO:0006605,GO:0046488
GO:0009100,GO:0044242
GO:0051186,GO:1901617
GO:0009887,GO:0051028
GO:0006629,GO:0006367
GO:0010970,GO:0046486
GO:0099111,GO:0034504
GO:0032787,GO:0031570
GO:0030705,GO:0008652
GO:0050801,GO:0008360
GO:0048878,GO:0006732
GO:0055080,GO:0009062
GO:0000122,GO:0046394
GO:0090407,GO:0016053
GO:0098771,GO:0006631
GO:0051640,GO:0006575
GO:0055086,GO:0001510
GO:0043603,GO:0007033
GO:0071495,GO:0000045
GO:0019637,GO:1901605
GO:1901135,GO:0032869
GO:0048193,GO:0006520
GO:0019752,GO:0006790
GO:0043436,GO:0006888
GO:0006082,GO:0044283
GO:0071702,GO:0016236
GO:0018193,GO:0072665
GO:0019725,GO:0006639
GO:0042592,GO:0006638
GO:0007017,GO:0051271
GO:0033365,GO:0016049
GO:0061024,GO:0040013
GO:1901566,GO:0032868
GO:0046907,GO:0006261
GO:0033036,GO:1903008
GO:0007010,GO:0031109
GO:0044248,GO:0044255
GO:0008104,GO:0090407
GO:0044281,GO:0032787
GO:0070727,GO:0006260
GO:0034613,GO:1901653
GO:0016192,GO:0071375
GO:0051641,GO:0006399
GO:0006793,GO:0006914
GO:0071705,GO:0061919
GO:0051179,GO:0019637
GO:0006810,GO:0051170
GO:0009056,GO:0006606
GO:0051234,GO:0006338
GO:0006796,GO:0046395
GO:0006464,GO:0016054
GO:0036211,GO:0071166
GO:0043412,GO:0000075
GO:1901564,GO:0071426
GO:0044267,GO:0019752
GO:0016043,GO:0044282
GO:0006996,GO:0045786
GO:0019538,GO:0007266
GO:0071840,GO:0008202
GO:1901576,GO:0006629
GO:0044237,GO:0043436
GO:0009058,GO:0022604
GO:0044238,GO:0016042
GO:0071704,GO:0055086
GO:0008152,GO:0031329
GO:0006807,GO:0044281
GO:0044260,GO:0006082
GO:0008150,GO:0007163
GO:0009987,GO:0007034
GO:0050794,GO:0051258
GO:0050896,GO:0042157
GO:0051716,GO:1901615
GO:0007165,GO:0043434
GO:0007154,GO:1901652
GO:0023052,GO:0051186
GO:0032501,GO:0071897
GO:0007267,GO:0006753
GO:0002376,GO:0015980
GO:0006955,GO:0044270
GO:0006952,GO:0009117
GO:0071345,GO:0051188
GO:0009607,GO:0000398
GO:0098609,GO:0000377
GO:0042127,GO:0000375
GO:0042493,GO:0043603
GO:0007268,GO:0046700
GO:0098916,GO:0051347
GO:0008283,GO:0032259
GO:0099537,GO:0006066
GO:0043207,GO:0043604
GO:0051707,GO:0005975
GO:0042391,GO:0006281
GO:0070838,GO:0008380
GO:0072511,GO:0006397
GO:0099536,GO:0009451
GO:0034097,GO:0034660
GO:0051704,GO:0009165
GO:0051346,GO:0030334
GO:0002252,GO:0051169
GO:0003008,GO:0006913
GO:0098542,GO:0022603
GO:0045087,GO:0071824
GO:0052548,GO:1901293
GO:0001775,GO:0007005
GO:0052547,GO:0019439
GO:0008284,GO:1901566
GO:0099177,GO:1901135
GO:0050804,GO:0072521
GO:0019221,GO:0006396
GO:0019953,GO:0043043
GO:0051050,GO:0007265
GO:0007186,GO:0006414
GO:0050877,GO:0006412
GO:0007276,GO:1901361
GO:0046425,GO:0019693
GO:1904892,GO:0009259
